category,paperid,date,num_authors,title
bioinformatics,050047,2016/05/05,2,Understanding properties of the master effector of phage shock operon in Mycobacterium tuberculosis via bioinformatics approach
bioinformatics,051813,2016/05/05,4,Bracken: Estimating species abundance in metagenomics data
bioinformatics,051847,2016/05/04,2,Biophysically motivated regulatory network inference: progress and prospects
bioinformatics,051656,2016/05/03,2,Pan- and core- network analysis of co-expression genes in a model plant
bioinformatics,051516,2016/05/03,3,trio-sga: facilitating de novo assembly of highly heterozygous genomes with parent-child trios
bioinformatics,051094,2016/05/03,18,LD Hub: a centralized database and web interface to perform LD score regression that maximizes the potential of summary level GWAS data for SNP heritability and genetic correlation analysis
bioinformatics,051409,2016/05/02,3,A Graph Extension of the Positional Burrows-Wheeler Transform and its Applications
bioinformatics,047985,2016/05/02,2,Analyzing Repast Symphony models in R with RRepast package
bioinformatics,051201,2016/05/02,3,Eliminating redundancy among protein sequences using submodular optimization
bioinformatics,050708,2016/04/28,3,Graph analysis of structural brain networks in Alzheimer's disease
bioinformatics,194720,2017/09/28,4,OpenEHR modeling for genomics in clinical practice
bioinformatics,115436,2017/09/28,8,ChromoTrace: Reconstruction of 3D Chromosome Configurations by Super-Resolution Microscopy
bioinformatics,195149,2017/09/27,10,PharmacoDB: an integrative database for mining in vitro anticancer drug screening studies
bioinformatics,094599,2017/09/27,1,"A coarse-graining, ultrametric approach to resolve the phylogeny of prokaryotic strains with frequent recombination"
bioinformatics,194480,2017/09/27,3,A distributed algorithm to maintain and repair the trail networks of arboreal ants
bioinformatics,191056,2017/09/27,17,Reconstruction of developmental landscapes by optimal-transport analysis of single-cell gene expression sheds light on cellular reprogramming.
bioinformatics,194464,2017/09/27,4,Profiling DNA Methylation Differences Between Inbred Mouse Strains on the Illumina Human Infinium MethylationEPIC Microarray
bioinformatics,194431,2017/09/27,5,MeDEStrand: an improved method to infer genome-wide absolute methylation level from DNA enrichment experiment
bioinformatics,194118,2017/09/26,5,Gauss-power mixing distributions comprehensively describe stochastic variations in RNA-seq data
bioinformatics,193870,2017/09/26,4,A literature review at genome scale: improving clinical variant assessment
bioinformatics,092742,2016/12/13,3,Simple adjustment of the sequence weight algorithm remarkably enhances PSI-BLAST performance
bioinformatics,093534,2016/12/13,1,http://dx.doi.org/10.1101/079087 CONTINUATION: Evaluation of adaptive somatic models in a gold standard whole genome somatic dataset
bioinformatics,093237,2016/12/12,1,Correcting Chimeric Crosstalk in Single Cell RNA-seq Experiments
bioinformatics,065383,2016/12/12,3,Designing fecal microbiota transplant trials that account for differences in donor stool efficacy
bioinformatics,093245,2016/12/12,2,BioMake: a GNU Make-compatible utility for declarative workflow management
bioinformatics,093161,2016/12/11,1,Historian: accurate reconstruction of ancestral sequences and evolutionary rates
bioinformatics,093021,2016/12/11,3,Cox-nnet: an artificial neural network Cox regression for prognosis prediction
bioinformatics,092940,2016/12/10,18,SNVPhyl: A Single Nucleotide Variant Phylogenomics pipeline for microbial genomic epidemiology
bioinformatics,092825,2016/12/09,2,High-dimensional regression over disease subgroups
bioinformatics,092726,2016/12/09,8,LOCALIZER: subcellular localization prediction of plant and effector proteins in the plant cell
bioinformatics,216671,2017/11/09,8,MRIQC Web-API: Crowdsourcing image quality metrics and expert quality ratings of structural and functional MRI
bioinformatics,217166,2017/11/09,2,SgTiler: a fast method to design tiling sgRNAs for CRISPR/Cas9 mediated screening
bioinformatics,215707,2017/11/09,5,Accurate Reconstruction of Microbial Strains from Metagenomic Sequencing Using Representative Reference Genomes
bioinformatics,173559,2017/11/09,4,TF2Network: predicting transcription factor regulators and gene regulatory networks in Arabidopsis using publicly available binding site information
bioinformatics,216788,2017/11/09,8,"GrapeTree: Visualization of core genomic relationships among 100,000 bacterial pathogens"
bioinformatics,216747,2017/11/09,8,DiscoSnp-RAD: de novo detection of small variants for population genomics
bioinformatics,170035,2017/11/08,7,De novo Clustering of Gene Expressed Variants in Transcriptomic Long Reads Data Sets
bioinformatics,216432,2017/11/08,6,Identifying Crohns disease signal from variome analysis
bioinformatics,209577,2017/11/08,12,PAIRUP-MS: Pathway Analysis and Imputation to Relate Unknowns in Profiles from Mass Spectrometry-based metabolite data
bioinformatics,216127,2017/11/08,2,Aligning sequences to general graphs in O(V + mE) time
bioinformatics,224196,2017/11/24,8,Quaternary structure evaluation tool for protein assemblies
bioinformatics,224535,2017/11/24,7,MEGAN-LR: New algorithms allow accurate binning and easy interactive exploration of metagenomic long reads and contigs
bioinformatics,224527,2017/11/24,3,DHSpred: support-vector-machine-based human DNase I hypersensitive sites prediction using the optimal features selected by random forest
bioinformatics,213603,2017/11/24,35,Interoperable and scalable metabolomics data analysis with microservices
bioinformatics,221846,2017/11/23,6,CaDrA: A computational framework for performing candidate driver analyses using binary genomic features
bioinformatics,224063,2017/11/22,2,Modelling the Dynamics of Biological Systems with the Geometric Hidden Markov Model
bioinformatics,177253,2017/11/22,1,The Oyster River Protocol: A Multi Assembler and Kmer Approach For de novo Transcriptome Assembly
bioinformatics,223297,2017/11/22,7,New synthetic-diploid benchmark for accurate variant calling evaluation
bioinformatics,223289,2017/11/22,7,Pediatric Severe Sepsis Prediction Using Machine Learning
